3 	 865 	 1029.33 	 -794.902 	 1897.17 	 158 	 154 	 155 	 0
40 	 890 	 1100.76 	 -697.062 	 1903.62 	 157 	 160 	 157 	 0
28 	 888 	 1086.09 	 -723.519 	 1887.57 	 168 	 179 	 175 	 0
38 	 888 	 1095.33 	 -702.497 	 1903.62 	 154 	 162 	 154 	 0
27 	 876 	 1075.52 	 -741.212 	 1926.56 	 160 	 161 	 154 	 0
39 	 879 	 1080.06 	 -705.781 	 1919.95 	 160 	 162 	 169 	 0
45 	 880 	 1084.66 	 -690.521 	 1923.25 	 174 	 182 	 179 	 0
9 	 878 	 1039.86 	 -760.605 	 1853.19 	 157 	 170 	 161 	 0
13 	 881 	 1065.43 	 -762.65 	 1884.39 	 160 	 179 	 172 	 0
23 	 874 	 1064.53 	 -748.349 	 1916.66 	 156 	 157 	 155 	 0
33 	 884 	 1062.77 	 -701.762 	 1865.55 	 158 	 160 	 157 	 0
87 	 908 	 1161.53 	 -575.214 	 1923.25 	 165 	 167 	 163 	 0
89 	 906 	 1160.02 	 -571.688 	 1929.88 	 162 	 168 	 165 	 0
77 	 898 	 1122.5 	 -596.519 	 1903.62 	 160 	 166 	 159 	 0
84 	 901 	 1146.25 	 -585.462 	 1929.88 	 165 	 165 	 161 	 0
69 	 901 	 1123.01 	 -614.08 	 1890.76 	 157 	 166 	 160 	 0
67 	 902 	 1133.37 	 -623.693 	 1903.62 	 161 	 165 	 162 	 0
73 	 901 	 1123.01 	 -603.284 	 1890.76 	 162 	 164 	 161 	 0
58 	 894 	 1136.76 	 -662.803 	 1946.66 	 162 	 164 	 156 	 0
63 	 904 	 1174.77 	 -654.601 	 1963.73 	 174 	 177 	 181 	 0
94 	 906 	 1168.08 	 -561.788 	 1943.28 	 165 	 169 	 163 	 0
100 	 915 	 1180.75 	 -539.524 	 1923.25 	 166 	 170 	 164 	 0
129 	 916 	 1210.53 	 -470.415 	 1967.19 	 185 	 192 	 194 	 0
111 	 919 	 1202.05 	 -513.738 	 1939.91 	 172 	 170 	 168 	 0
121 	 924 	 1226.53 	 -490.295 	 1956.87 	 170 	 172 	 170 	 0
105 	 919 	 1197.9 	 -528.521 	 1933.21 	 173 	 176 	 171 	 0
109 	 919 	 1204.14 	 -520.178 	 1943.28 	 164 	 171 	 167 	 0
126 	 914 	 1211.3 	 -481.377 	 1977.61 	 185 	 194 	 190 	 0
118 	 916 	 1234.39 	 -511.187 	 2005.97 	 173 	 169 	 168 	 0
136 	 930 	 1288.34 	 -464.64 	 2027.77 	 172 	 174 	 171 	 0
133 	 924 	 1289.66 	 -480.284 	 2057.59 	 168 	 175 	 170 	 0
132 	 921 	 1276.16 	 -481.452 	 2050.05 	 172 	 169 	 175 	 0
153 	 936 	 1332.25 	 -423.878 	 2069 	 172 	 178 	 175 	 0
158 	 940 	 1351.56 	 -411.392 	 2080.54 	 175 	 178 	 176 	 0
163 	 941 	 1354.53 	 -396.543 	 2080.54 	 177 	 180 	 176 	 0
144 	 923 	 1301.07 	 -452.971 	 2080.54 	 185 	 191 	 192 	 0
149 	 936 	 1329.79 	 -434.888 	 2065.18 	 177 	 177 	 173 	 0
160 	 940 	 1354.08 	 -406.207 	 2084.41 	 175 	 179 	 177 	 0
181 	 937 	 1370.68 	 -350.245 	 2123.96 	 194 	 199 	 195 	 0
176 	 941 	 1388.07 	 -366.797 	 2132.05 	 179 	 179 	 179 	 0
